,creole_word,word,creole name
0,a,['future marker'],Lousiana Creole
1,a,"['of', ' to', ' from', ' at']",Lousiana Creole
2,abichud,['used to'],Lousiana Creole
3,(l)abitan,['farmer'],Lousiana Creole
4,(l)abri,['shelter'],Lousiana Creole
5,adrwa,['right (direction)'],Lousiana Creole
6,Afrikin; afrikin,['African'],Lousiana Creole
7,agosh,['left'],Lousiana Creole
8,(l)aj,['age'],Lousiana Creole
9,aklé,['lock'],Lousiana Creole
10,akoz,['because'],Lousiana Creole
11,alé,['go'],Lousiana Creole
12,alentour,"['approximately', ' around', ' about']",Lousiana Creole
13,alfabèt,['alphabet'],Lousiana Creole
14,Alman; alman,['German'],Lousiana Creole
15,alon,"[""let's""]",Lousiana Creole
16,alòr,"['interjthen', ' so', "" Fr. 'donc'""]",Lousiana Creole
17,(z)ami,['friend'],Lousiana Creole
18,(l)amour,['love'],Lousiana Creole
19,(l)amourè,"['boyfriend', ' lover (male)']",Lousiana Creole
20,(z)an,['year (for counting age)'],Lousiana Creole
21,(l)andoui,['andouille (sausage)'],Lousiana Creole
22,(l)ané,['year'],Lousiana Creole
23,anmær,['bitter'],Lousiana Creole
24,aout,['August'],Lousiana Creole
0,ap(é),['progressive marker'],Lousiana Creole
1,apré,['after'],Lousiana Creole
2,aprémidi,['nphrafternoon'],Lousiana Creole
3,aprenn,"['learn', ' teach']",Lousiana Creole
4,"arété, arèt",['stop'],Lousiana Creole
5,"arivé, ariv","['arrive', ' happen']",Lousiana Creole
6,ariyin,['nothing'],Lousiana Creole
7,asé,['adv.enough'],Lousiana Creole
8,"ashté, ashèt",['buy'],Lousiana Creole
9,asit,['sit'],Lousiana Creole
10,astœr,['now'],Lousiana Creole
11,aswa,['tonight'],Lousiana Creole
12,aværti,['warn'],Lousiana Creole
13,avan,['before'],Lousiana Creole
14,"avansé, avans",['progress'],Lousiana Creole
15,avèk,['with'],Lousiana Creole
16,avril,['April'],Lousiana Creole
0,ap(é),['progressive marker'],Lousiana Creole
1,apré,['after'],Lousiana Creole
2,aprémidi,['nphrafternoon'],Lousiana Creole
3,aprenn,"['learn', ' teach']",Lousiana Creole
4,"arété, arèt",['stop'],Lousiana Creole
5,"arivé, ariv","['arrive', ' happen']",Lousiana Creole
6,ariyin,['nothing'],Lousiana Creole
7,asé,['adv.enough'],Lousiana Creole
8,"ashté, ashèt",['buy'],Lousiana Creole
9,asit,['sit'],Lousiana Creole
10,astœr,['now'],Lousiana Creole
11,aswa,['tonight'],Lousiana Creole
12,aværti,['warn'],Lousiana Creole
13,avan,['before'],Lousiana Creole
14,"avansé, avans",['progress'],Lousiana Creole
15,avèk,['with'],Lousiana Creole
16,avril,['April'],Lousiana Creole
0,babìnn,['lip'],Lousiana Creole
1,bæk,['back'],Lousiana Creole
2,bal,['dance (social gathering)'],Lousiana Creole
3,balé,['broom'],Lousiana Creole
4,"balé, bal",['sweep'],Lousiana Creole
5,"baloté, balot",['stagger'],Lousiana Creole
6,(la)bank,['bank'],Lousiana Creole
7,banndjo,['banjo'],Lousiana Creole
8,(la)barb,['beard'],Lousiana Creole
9,barbi,['catfish'],Lousiana Creole
10,"barbouyé, barbouy","['dirty', ' get dirty']",Lousiana Creole
11,"baré, bar","['lock', ' block']",Lousiana Creole
12,bat,"['fight', ' beat']",Lousiana Creole
13,bati,['build'],Lousiana Creole
14,batimen,['ship'],Lousiana Creole
15,batimen-d-ær,['airplane'],Lousiana Creole
16,batis,['building'],Lousiana Creole
17,bato,['boat'],Lousiana Creole
18,baton,['stick'],Lousiana Creole
19,baton-mayi,['nphrcornstalk'],Lousiana Creole
20,bayou,['bayou'],Lousiana Creole
21,bèf,['cow'],Lousiana Creole
22,bèl,['beautiful'],Lousiana Creole
23,bèl,"['girlfriend', ' female lover']",Lousiana Creole
24,bèl-fiy,['daughter-in-law'],Lousiana Creole
0,bèl-mær,"['mother-in-law', ' stepmother']",Lousiana Creole
1,bèl-sœr,['sister-in-law'],Lousiana Creole
2,béñé,['beignet'],Lousiana Creole
3,"bèñé, bèñ","['swim', ' bathe']",Lousiana Creole
4,bèt,"['stupid', ' animal']",Lousiana Creole
5,bétay,['livestock'],Lousiana Creole
6,bezwin,['need'],Lousiana Creole
7,(La)Bib,['Bible'],Lousiana Creole
8,bisik,['bicycle'],Lousiana Creole
9,biy,['bead'],Lousiana Creole
10,blan,['white'],Lousiana Creole
11,blanshi,['whitewash'],Lousiana Creole
12,"blèsé, blès",['injure'],Lousiana Creole
13,"bliyé, bliy",['forget'],Lousiana Creole
14,bo-fis,['son-in-law'],Lousiana Creole
15,bo-frær,['brother-in-law'],Lousiana Creole
16,bo-pær,"['father-in-law', ' stepfather']",Lousiana Creole
17,bokou,"['many', ' very']",Lousiana Creole
18,bòl,['bowl'],Lousiana Creole
19,bon,['good'],Lousiana Creole
20,bon-marshé,['cheap'],Lousiana Creole
21,Bondjè,['God'],Lousiana Creole
22,bonjou,['interjhello'],Lousiana Creole
23,Bonn fèt!,['phrHappy birthday!'],Lousiana Creole
24,bonn-aryin,['good-for-nothing'],Lousiana Creole
0,bonnœr,['early'],Lousiana Creole
1,bonswa,"['interjgood evening', ' good night']",Lousiana Creole
2,bòs,['boss'],Lousiana Creole
3,boskoyo,['cypress knee'],Lousiana Creole
4,bòt,['boots'],Lousiana Creole
5,(la)bou,['mud'],Lousiana Creole
6,boudin,['boudin (sausage)'],Lousiana Creole
7,boug,"['guy', ' man']",Lousiana Creole
8,"bouklé, bouk",['buckle'],Lousiana Creole
9,(la)boukònn,['smoke'],Lousiana Creole
10,boukònné,"['smoke (meat)', ' smoked']",Lousiana Creole
11,"boulværsé, boulværs","['upset', ' change suddenly']",Lousiana Creole
12,bounda,['butt'],Lousiana Creole
13,(la)boush,['mouth'],Lousiana Creole
14,(la)boushri,['boucherie'],Lousiana Creole
15,bout,['end (of object)'],Lousiana Creole
16,bout-d-tem,['nphra while'],Lousiana Creole
17,boutéy,['bottle'],Lousiana Creole
18,boutik,['store'],Lousiana Creole
19,"bouyi, bouy",['boil'],Lousiana Creole
20,bra,['arm'],Lousiana Creole
21,branshaj,"['twigs', ' kindling']",Lousiana Creole
22,brenm,['eggplant'],Lousiana Creole
23,"brilé, bril",['burn'],Lousiana Creole
24,brilmen,['burn'],Lousiana Creole
0,brilmen-lèstoma,['nphrheartburn'],Lousiana Creole
1,"briyé, briy",['shine'],Lousiana Creole
2,"brizé, briz",['shatter'],Lousiana Creole
3,bwa,['drink'],Lousiana Creole
4,bwason,['drink'],Lousiana Creole
5,bwat,['box'],Lousiana Creole
6,(la)byær,['beer'],Lousiana Creole
7,byin,"['good', ' well', ' very']",Lousiana Creole
0,bèl-mær,"['mother-in-law', ' stepmother']",Lousiana Creole
1,bèl-sœr,['sister-in-law'],Lousiana Creole
2,béñé,['beignet'],Lousiana Creole
3,"bèñé, bèñ","['swim', ' bathe']",Lousiana Creole
4,bèt,"['stupid', ' animal']",Lousiana Creole
5,bétay,['livestock'],Lousiana Creole
6,bezwin,['need'],Lousiana Creole
7,(La)Bib,['Bible'],Lousiana Creole
8,bisik,['bicycle'],Lousiana Creole
9,biy,['bead'],Lousiana Creole
10,blan,['white'],Lousiana Creole
11,blanshi,['whitewash'],Lousiana Creole
12,"blèsé, blès",['injure'],Lousiana Creole
13,"bliyé, bliy",['forget'],Lousiana Creole
14,bo-fis,['son-in-law'],Lousiana Creole
15,bo-frær,['brother-in-law'],Lousiana Creole
16,bo-pær,"['father-in-law', ' stepfather']",Lousiana Creole
17,bokou,"['many', ' very']",Lousiana Creole
18,bòl,['bowl'],Lousiana Creole
19,bon,['good'],Lousiana Creole
20,bon-marshé,['cheap'],Lousiana Creole
21,Bondjè,['God'],Lousiana Creole
22,bonjou,['interjhello'],Lousiana Creole
23,Bonn fèt!,['phrHappy birthday!'],Lousiana Creole
24,bonn-aryin,['good-for-nothing'],Lousiana Creole
0,ça,"['prothat', ' what', ' it', ' they']",Lousiana Creole
1,ça-fé,['so'],Lousiana Creole
2,ça...?,['what...?'],Lousiana Creole
3,-ça(la)yé,['detthose'],Lousiana Creole
4,-çala,['detthat'],Lousiana Creole
5,çé,['be'],Lousiana Creole
6,çé té,['it was'],Lousiana Creole
7,chak,['drunk'],Lousiana Creole
8,"chaké, chak",['get drunk'],Lousiana Creole
9,"chéké, chèk",['check'],Lousiana Creole
10,chi,['-chinsfxemphatic possessive'],Lousiana Creole
11,(la)chirout,['diarrhea'],Lousiana Creole
12,chombo,['hold'],Lousiana Creole
13,"choué, chou",['kill'],Lousiana Creole
14,-çi(la)yé,['detthese'],Lousiana Creole
15,-çila,['detthis'],Lousiana Creole
0,d(e),"['from', ' of']",Lousiana Creole
1,dærñær,['last'],Lousiana Creole
2,dæryær,['behind'],Lousiana Creole
3,dakòr,['agreed'],Lousiana Creole
4,dan,['in'],Lousiana Creole
5,"dansé, dans",['dance'],Lousiana Creole
6,dé,['two'],Lousiana Creole
7,dê,['some'],Lousiana Creole
8,débout,"['standing', ' awake']",Lousiana Creole
9,défi,['challenge'],Lousiana Creole
10,défwa,['sometimes'],Lousiana Creole
11,dégouté,"['disgusted', ' depressed']",Lousiana Creole
12,"déjœné, déjœn","['breakfast', ' eat breakfast']",Lousiana Creole
13,dékourajé,"['discouraged', ' discourage']",Lousiana Creole
14,"déménajé, déménaj",['move house'],Lousiana Creole
15,demi,['half (used in telling time)'],Lousiana Creole
16,démin,['démoushmoush'],Lousiana Creole
17,den,['tooth'],Lousiana Creole
18,dépi,['dépwarpwar'],Lousiana Creole
19,désann,"['go down', ' get off']",Lousiana Creole
0,désemb,['déshoushou'],Lousiana Creole
1,dési,"['on top', ' over']",Lousiana Creole
2,dèt,"['be (imperative)', ' be (infinitive)']",Lousiana Creole
3,"détèsté, détès",['déværvær'],Lousiana Creole
4,dévan,['in front of'],Lousiana Creole
5,déyòr,['dézozo'],Lousiana Creole
6,dézolé,['sorry'],Lousiana Creole
7,dézòrd,['dézwitzwit'],Lousiana Creole
8,dèzyèm,['second'],Lousiana Creole
9,di,"['say', ' tell']",Lousiana Creole
10,dibœr,['butter'],Lousiana Creole
11,dibonm,['mint'],Lousiana Creole
12,dibwa,"['wood', ' woods']",Lousiana Creole
13,difé,['fire'],Lousiana Creole
14,diféren,['different'],Lousiana Creole
15,diférens,['difference'],Lousiana Creole
16,difwin,['hay'],Lousiana Creole
17,digri,['grits'],Lousiana Creole
0,diji,['juice'],Lousiana Creole
1,dilé,['milk'],Lousiana Creole
2,dimansh,['Sunday'],Lousiana Creole
3,Dimansh Ramo,['nphrPalm Sunday'],Lousiana Creole
4,dimyèl,['honey'],Lousiana Creole
5,"diné, dinn","['lunch', ' eat lunch']",Lousiana Creole
6,dipin,['bread'],Lousiana Creole
7,"diré, dir",['last (for a while)'],Lousiana Creole
8,diri,['rice'],Lousiana Creole
9,dis,['ten'],Lousiana Creole
10,dis-sèt,['seventeen'],Lousiana Creole
11,disan,['blood'],Lousiana Creole
12,disik,['sugar'],Lousiana Creole
13,dité,['tea'],Lousiana Creole
14,diven,['wind'],Lousiana Creole
15,divin,['wine'],Lousiana Creole
16,diz-nèf,['nineteen'],Lousiana Creole
17,diz-wit,['eighteen'],Lousiana Creole
18,djaz,['jazz'],Lousiana Creole
19,djèp,['wasp'],Lousiana Creole
20,djòb,['job'],Lousiana Creole
21,(la)djœl,['mouth (informal)'],Lousiana Creole
22,djòg,['jug'],Lousiana Creole
23,do,['interjthough (discourse particle)'],Lousiana Creole
24,dolo,['water'],Lousiana Creole
0,dolo ho,['nphrflood'],Lousiana Creole
1,domaj,"['shame', ' damage']",Lousiana Creole
2,donn,['give'],Lousiana Creole
3,"dòrmi, dòr",['sleep'],Lousiana Creole
4,dòt,['other'],Lousiana Creole
5,dou,['sweet'],Lousiana Creole
6,dousmen,"['slow', ' slowly']",Lousiana Creole
7,douz,['twelve'],Lousiana Creole
8,drèt-la,"['right here', ' right then']",Lousiana Creole
9,dri,"['thick (with)', ' heavy']",Lousiana Creole
10,dròl,"['funny', ' weird']",Lousiana Creole
11,drwa,['right'],Lousiana Creole
12,dur,"['hard', ' difficult']",Lousiana Creole
13,dursi,['harden'],Lousiana Creole
14,dwa,"['have to', ' must']",Lousiana Creole
15,dwa,['finger'],Lousiana Creole
0,désemb,['déshoushou'],Lousiana Creole
1,dési,"['on top', ' over']",Lousiana Creole
2,dèt,"['be (imperative)', ' be (infinitive)']",Lousiana Creole
3,"détèsté, détès",['déværvær'],Lousiana Creole
4,dévan,['in front of'],Lousiana Creole
5,déyòr,['dézozo'],Lousiana Creole
6,dézolé,['sorry'],Lousiana Creole
7,dézòrd,['dézwitzwit'],Lousiana Creole
8,dèzyèm,['second'],Lousiana Creole
9,di,"['say', ' tell']",Lousiana Creole
10,dibœr,['butter'],Lousiana Creole
11,dibonm,['mint'],Lousiana Creole
12,dibwa,"['wood', ' woods']",Lousiana Creole
13,difé,['fire'],Lousiana Creole
14,diféren,['different'],Lousiana Creole
15,diférens,['difference'],Lousiana Creole
16,difwin,['hay'],Lousiana Creole
17,digri,['grits'],Lousiana Creole
0,é,['and'],Lousiana Creole
1,"èdé, èd",['help'],Lousiana Creole
2,ègzamp,['example'],Lousiana Creole
3,ékan,['when'],Lousiana Creole
4,ékri,['write'],Lousiana Creole
5,èksplozé,['explode'],Lousiana Creole
6,èl,"['proshe', ' her (object and subject pronoun)']",Lousiana Creole
7,"èlvé, (è)lèv","['raise', ' grow']",Lousiana Creole
8,embarasé,"['bother', ' embarrass']",Lousiana Creole
9,"embrasé, embras","['hug', ' kiss']",Lousiana Creole
10,en,"['on', ' in']",Lousiana Creole
11,enba,"['below', ' under']",Lousiana Creole
12,endan,['inside'],Lousiana Creole
13,endéyòr,"['outside', ' outside of']",Lousiana Creole
14,èndjòy,['enjoy'],Lousiana Creole
15,enfamiy,['pregnant'],Lousiana Creole
16,enho,"['on', ' above']",Lousiana Creole
17,enkòr,['yet'],Lousiana Creole
18,enlær,"['up', ' on', ' above']",Lousiana Creole
19,"enmærdé, enmærd",['annoy'],Lousiana Creole
20,ènn-a-lòt,['each other'],Lousiana Creole
21,ennaryær,"['in back', ' behind']",Lousiana Creole
22,ennavan,['in front of'],Lousiana Creole
23,ennwiyé,"['bored', ' lonesome']",Lousiana Creole
24,ensenm,['together'],Lousiana Creole
0,Envil,['New Orleans'],Lousiana Creole
1,épi,['and'],Lousiana Creole
2,épis,['spice'],Lousiana Creole
3,éroplènn,['airplane'],Lousiana Creole
4,èske,['do you...?'],Lousiana Creole
5,"èskizé, èskiz",['excuse'],Lousiana Creole
6,èspær (pou),['wait (for)'],Lousiana Creole
7,"étærné, étærn",['sneeze'],Lousiana Creole
8,étidyan,['student'],Lousiana Creole
9,"étidyé, étidi",['study'],Lousiana Creole
10,étòné,['surprised'],Lousiana Creole
11,"étoufé, étouf","['stew', ' smother']",Lousiana Creole
12,éyou,['where'],Lousiana Creole
0,Envil,['New Orleans'],Lousiana Creole
1,épi,['and'],Lousiana Creole
2,épis,['spice'],Lousiana Creole
3,éroplènn,['airplane'],Lousiana Creole
4,èske,['do you...?'],Lousiana Creole
5,"èskizé, èskiz",['excuse'],Lousiana Creole
6,èspær (pou),['wait (for)'],Lousiana Creole
7,"étærné, étærn",['sneeze'],Lousiana Creole
8,étidyan,['student'],Lousiana Creole
9,"étidyé, étidi",['study'],Lousiana Creole
10,étòné,['surprised'],Lousiana Creole
11,"étoufé, étouf","['stew', ' smother']",Lousiana Creole
12,éyou,['where'],Lousiana Creole
0,fær-a-shwal,['horseshoe'],Lousiana Creole
1,"færmé, færm","['close', ' shut']",Lousiana Creole
2,famiy,['family'],Lousiana Creole
3,faroush,"['wild', ' untamed']",Lousiana Creole
4,fé,"['do', ' make']",Lousiana Creole
5,fé (sô) dévwa,"[""do one's homework""]",Lousiana Creole
6,fé (sô) lapriyè,"[""say (one's) prayers"", ' pray']",Lousiana Creole
7,fé (sô) ménaj,"[""do one's chores""]",Lousiana Creole
8,fé atensyon,['be careful'],Lousiana Creole
9,fé fars,['joke'],Lousiana Creole
10,fé grosri,['go grocery shopping'],Lousiana Creole
11,fé kado,['give as a gift'],Lousiana Creole
12,fé kòmærs,"['cause trouble', ' make a mess']",Lousiana Creole
13,fé lakònésans (avèk),['meet (someone for the first time)'],Lousiana Creole
14,fé lakour,"['court', ' date']",Lousiana Creole
15,fé lougarou,['stay out late gallivanting'],Lousiana Creole
16,fé mal,['hurt'],Lousiana Creole
17,fé rékòlt,['farm'],Lousiana Creole
18,fé særmen,['swear'],Lousiana Creole
19,fé siñ lakrwa,['cross yourself'],Lousiana Creole
20,fé sô nidé,"[""make up one's mind""]",Lousiana Creole
21,fé sosyété,['throw a party'],Lousiana Creole
22,fé trin,['complain'],Lousiana Creole
23,fé zan,['turn (an age)'],Lousiana Creole
24,fé zyé dou (apré),['make eyes (at)'],Lousiana Creole
0,fèb,['weak'],Lousiana Creole
1,fenm,"['woman', ' wife']",Lousiana Creole
2,(la)fèt,"['birthday', ' party', ' holiday']",Lousiana Creole
3,févi,['okra'],Lousiana Creole
4,fèvriyé,['February'],Lousiana Creole
5,féy,['leaf'],Lousiana Creole
6,fid,['animal feed'],Lousiana Creole
7,(la)figur,['face'],Lousiana Creole
8,fil,"['wire', ' string']",Lousiana Creole
9,fil-a-kroshé,['barbed wire'],Lousiana Creole
10,filé,['filé'],Lousiana Creole
11,fim,['hungry'],Lousiana Creole
12,"fimé, fimm",['smoke tobacco'],Lousiana Creole
13,fimyé,['manure'],Lousiana Creole
14,fin,['end'],Lousiana Creole
15,fin-lasmèn,['weekend'],Lousiana Creole
16,(la)finèt,['window'],Lousiana Creole
17,fini,"['finish', ' complete']",Lousiana Creole
18,fiy,"['girl', ' daughter']",Lousiana Creole
19,fiyèl,['goddaughter'],Lousiana Creole
20,fiyo,['godson'],Lousiana Creole
21,flèri,['bloom'],Lousiana Creole
22,flœr,['flower'],Lousiana Creole
23,fo,['false'],Lousiana Creole
24,fò,['pho (Vietnamese soup)'],Lousiana Creole
0,fon,"['deep', ' depths']",Lousiana Creole
1,fonn,['fun'],Lousiana Creole
2,fonn,['phone'],Lousiana Creole
3,"fònné, fònn",['wilt'],Lousiana Creole
4,fonsé,['dark (of color)'],Lousiana Creole
5,fòr,"['strong', ' loud']",Lousiana Creole
6,foré,['forest'],Lousiana Creole
7,(la)fot,['fault'],Lousiana Creole
8,fou,['crazy'],Lousiana Creole
9,fou,['oven'],Lousiana Creole
10,fou pa mal,"['not care', "" not give a flyin' fiddlestick""]",Lousiana Creole
11,foursh,['pitchfork'],Lousiana Creole
12,fourshèt,['fork (for eating)'],Lousiana Creole
13,foutimen,['extremely'],Lousiana Creole
14,frær,['brother'],Lousiana Creole
15,Françé; françé,['French'],Lousiana Creole
16,frédi,['get cold'],Lousiana Creole
17,frèsh,"['fresh', ' cool']",Lousiana Creole
18,(la)frèsh,"['breeze', ' shade', ' relief']",Lousiana Creole
19,frèt,['cold'],Lousiana Creole
20,fri,['fry'],Lousiana Creole
21,"frikasé, frikas","['fricassee', ' stew', ' stew']",Lousiana Creole
22,fromaj,['cheese'],Lousiana Creole
23,frwi,['fruit'],Lousiana Creole
24,fwa,['time'],Lousiana Creole
0,fyær,['proud'],Lousiana Creole
1,fyansé,['engaged'],Lousiana Creole
0,fèb,['weak'],Lousiana Creole
1,fenm,"['woman', ' wife']",Lousiana Creole
2,(la)fèt,"['birthday', ' party', ' holiday']",Lousiana Creole
3,févi,['okra'],Lousiana Creole
4,fèvriyé,['February'],Lousiana Creole
5,féy,['leaf'],Lousiana Creole
6,fid,['animal feed'],Lousiana Creole
7,(la)figur,['face'],Lousiana Creole
8,fil,"['wire', ' string']",Lousiana Creole
9,fil-a-kroshé,['barbed wire'],Lousiana Creole
10,filé,['filé'],Lousiana Creole
11,fim,['hungry'],Lousiana Creole
12,"fimé, fimm",['smoke tobacco'],Lousiana Creole
13,fimyé,['manure'],Lousiana Creole
14,fin,['end'],Lousiana Creole
15,fin-lasmèn,['weekend'],Lousiana Creole
16,(la)finèt,['window'],Lousiana Creole
17,fini,"['finish', ' complete']",Lousiana Creole
18,fiy,"['girl', ' daughter']",Lousiana Creole
19,fiyèl,['goddaughter'],Lousiana Creole
20,fiyo,['godson'],Lousiana Creole
21,flèri,['bloom'],Lousiana Creole
22,flœr,['flower'],Lousiana Creole
23,fo,['false'],Lousiana Creole
24,fò,['pho (Vietnamese soup)'],Lousiana Creole
0,galimacha,"['jumble', ' mess']",Lousiana Creole
1,galopé laboush,"['chatter', "" run one's mouth""]",Lousiana Creole
2,"galopé, galòp","['run', ' manage']",Lousiana Creole
3,(la)galri,['porch'],Lousiana Creole
4,"ganñé, ganñ","['win', ' earn']",Lousiana Creole
5,gar-manjé,['pantry'],Lousiana Creole
6,garaj,['garage'],Lousiana Creole
7,garçon,"['boy', ' son']",Lousiana Creole
8,"gardé, gar","['look at', ' seem like', ' watch']",Lousiana Creole
9,"garoshé, garòsh",['throw'],Lousiana Creole
10,gato,['cake (general)'],Lousiana Creole
11,gayar,['healthy'],Lousiana Creole
12,gazolinn,['gasoline'],Lousiana Creole
13,gém,['game'],Lousiana Creole
14,géri,"['heal', ' cure']",Lousiana Creole
15,gérison,['cure'],Lousiana Creole
16,"gèté, gèt","['watch', ' look at']",Lousiana Creole
17,gin,['have'],Lousiana Creole
18,gin drwa,['allowed to'],Lousiana Creole
19,gin lashans,['lucky'],Lousiana Creole
20,gin lè,"['seem', ' appear']",Lousiana Creole
21,gin pœr,['afraid'],Lousiana Creole
22,gin pou,['have to'],Lousiana Creole
23,gin rézon,['right'],Lousiana Creole
24,gin toupé,['have nerve'],Lousiana Creole
0,gita,['guitar'],Lousiana Creole
1,(la)glas,"['ice', ' ice cream', ' frost']",Lousiana Creole
2,glasyær,['refrigerator'],Lousiana Creole
3,(la)gli,['slime'],Lousiana Creole
4,gogo,['butt'],Lousiana Creole
5,Gòlf,['Gulf of Mexico'],Lousiana Creole
6,gombo,['gumbo'],Lousiana Creole
7,gonn,"['leave', ' gone']",Lousiana Creole
8,gosh,"['left (as opposed to right)', ' awkward', ' clumsy']",Lousiana Creole
9,gout,['drop'],Lousiana Creole
10,"gouté, gou",['taste'],Lousiana Creole
11,gran,"['big', ' tall']",Lousiana Creole
12,gran-mær/gran-moman,['grandmother/grandma'],Lousiana Creole
13,gran-moun,['grow-up'],Lousiana Creole
14,gran-ouvær,['adjphrwide open'],Lousiana Creole
15,gran-pær/gran-popa,['grandfather/grandpa'],Lousiana Creole
16,gran-paren,['grandparents'],Lousiana Creole
17,gran-ti-zenfan,['great-grandchild'],Lousiana Creole
18,grandi,"['grow up', ' grow']",Lousiana Creole
19,"graté, grat",['scratch'],Lousiana Creole
20,grènn,['seed'],Lousiana Creole
21,gril,['grill'],Lousiana Creole
22,"griyé, griy","['grill', ' roast']",Lousiana Creole
23,gro,"['big', ' fat']",Lousiana Creole
24,gro tem/mové tem,"['bad weather', ' storm']",Lousiana Creole
0,grosi,"['grow', ' grow up', ' get fat']",Lousiana Creole
1,(la)grosri,['grocery store'],Lousiana Creole
2,"grouyé, grouy","['move', ' shake']",Lousiana Creole
0,gita,['guitar'],Lousiana Creole
1,(la)glas,"['ice', ' ice cream', ' frost']",Lousiana Creole
2,glasyær,['refrigerator'],Lousiana Creole
3,(la)gli,['slime'],Lousiana Creole
4,gogo,['butt'],Lousiana Creole
5,Gòlf,['Gulf of Mexico'],Lousiana Creole
6,gombo,['gumbo'],Lousiana Creole
7,gonn,"['leave', ' gone']",Lousiana Creole
8,gosh,"['left (as opposed to right)', ' awkward', ' clumsy']",Lousiana Creole
9,gout,['drop'],Lousiana Creole
10,"gouté, gou",['taste'],Lousiana Creole
11,gran,"['big', ' tall']",Lousiana Creole
12,gran-mær/gran-moman,['grandmother/grandma'],Lousiana Creole
13,gran-moun,['grow-up'],Lousiana Creole
14,gran-ouvær,['adjphrwide open'],Lousiana Creole
15,gran-pær/gran-popa,['grandfather/grandpa'],Lousiana Creole
16,gran-paren,['grandparents'],Lousiana Creole
17,gran-ti-zenfan,['great-grandchild'],Lousiana Creole
18,grandi,"['grow up', ' grow']",Lousiana Creole
19,"graté, grat",['scratch'],Lousiana Creole
20,grènn,['seed'],Lousiana Creole
21,gril,['grill'],Lousiana Creole
22,"griyé, griy","['grill', ' roast']",Lousiana Creole
23,gro,"['big', ' fat']",Lousiana Creole
24,gro tem/mové tem,"['bad weather', ' storm']",Lousiana Creole
0,(la)hansh,['hip'],Lousiana Creole
1,(la)hash,['axe'],Lousiana Creole
2,hé!,['interjhey!'],Lousiana Creole
3,"hélé, hèl","['yell', ' shout']",Lousiana Creole
4,hòl,['dancehall'],Lousiana Creole
5,hont,['shame'],Lousiana Creole
0,ibou,['owl'],Lousiana Creole
1,ifo,['phrneed to (do something)'],Lousiana Creole
2,imid,['humid'],Lousiana Creole
3,impòrtan,['important'],Lousiana Creole
4,impòsib,['impossible'],Lousiana Creole
5,in,"['one', ' a(n)']",Lousiana Creole
